,wikidata_uri,company name,description,country,instance of,inception,official website,industry,founded by
0,http://www.wikidata.org/entity/Q279260,Hotel Sacher,"building in Innere Stadt, Vienna, Austria",Austria,['hotel' 'Viennese coffee house'],1876-01-01,http://www.sacher.com/,['hotel'],Édouard Sacher
1,http://www.wikidata.org/entity/Q193326,Goldman Sachs,American investment bank,United States of America,"['stock exchange' 'bank' 'multinational corporation' 'credit institution'
 'investment bank' 'asset management' 'public company'
 'commercial organization']",1869-01-01,https://www.goldmansachs.com/,"['financial services' 'financial sector'
 'financial service activities, except insurance and pension funding']",Samuel Sachs
2,http://www.wikidata.org/entity/Q205012,Sberbank,Russian banking and financial services company,Russia,"['bank' 'public company' 'enterprise' 'business'
 'credit organization (business in Russia)'
 'state-owned enterprise of Russia']",1991-03-22,https://www.sberbank.com,"['banking in Russia' 'financial sector'
 'financial service activities, except insurance and pension funding']",Central Bank of Russia
3,http://www.wikidata.org/entity/Q180855,Heineken,Dutch beer company,Netherlands,['brewery' 'public company' 'business' 'enterprise'],1864-07-12,http://www.heinekeninternational.com/,['beverage industry'],Gerard Adriaan Heineken
4,http://www.wikidata.org/entity/Q66048,Deutsche Bank,German global banking and financial services company,Germany,['bank' 'public company' 'universal bank'],1870-03-10,https://www.db.com,"['financial services' 'Other monetary intermediation' 'financial sector'
 'financial service activities, except insurance and pension funding']",Ludwig Bamberger
5,http://www.wikidata.org/entity/Q113215,Carlsberg Group,Danish brewery group,Denmark,['brewery' 'public company' 'business' 'enterprise'],1847-01-01,https://www.carlsberggroup.com,['food industry' 'beverage industry'],J. C. Jacobsen
6,http://www.wikidata.org/entity/Q106854,Beck's,German brewery,Germany,['brewery'],1873-01-01,http://www.becks.de,['brewing'],Lüder Rutenberg
7,http://www.wikidata.org/entity/Q276557,Kasikornbank,Financial institution in Thailand,Thailand,"['bank' 'enterprise' 'company' 'credit institution' 'joint-stock company'
 'business']",1945-06-08,https://www.kasikornbank.com/,['tertiary sector of the economy'],Choti Lamsam
8,http://www.wikidata.org/entity/Q278905,A. Le Coq,Estonian brewery,Estonia,['enterprise' 'brewery'],1807-01-01,https://www.alecoq.ee/,['food industry'],Albert von Le Coq
9,http://www.wikidata.org/entity/Q190464,HSBC,British multinational bank,United Kingdom,['bank' 'credit institution' 'public company' 'enterprise' 'business'],1865-01-01,https://hsbc.com/,"['financial services' 'insurance' 'financial sector'
 'economics of banking']",Thomas Sutherland
10,http://www.wikidata.org/entity/Q165684,Rogers Communications,Canadian telecommunications company,Canada,['internet service provider' 'public company' 'business'],1960-01-01,https://www.rogers.com/,['telecommunications' 'mobile phone industry'],Edward S. Rogers Sr.
11,http://www.wikidata.org/entity/Q192314,JPMorgan Chase,American multinational banking and financial services holding company,United States of America,['bank' 'public company' 'credit institution' 'business' 'enterprise'],2000-01-01,http://www.jpmorganchase.com/,['financial services' 'financial sector' 'economics of banking'],J. P. Morgan
12,http://www.wikidata.org/entity/Q304091,Moosehead Brewery,company,Canada,['brewery'],1867-01-01,http://www.moosehead.ca/,['brewing'],Susannah Oland
13,http://www.wikidata.org/entity/Q334204,Morgan Stanley,U.S investment bank,United States of America,['bank' 'public company' 'credit institution' 'business' 'enterprise'],1924-01-01,https://www.morganstanley.com,['financial services' 'financial sector'],Richard Samuel Reynolds Jr.
14,http://www.wikidata.org/entity/Q188567,Grameen Bank,microfinance organization and community development bank,Bangladesh,['bank'],1983-01-01,https://grameenbank.org/,"['financial service activities, except insurance and pension funding'
 'financial services']",Muhammad Yunus
15,http://www.wikidata.org/entity/Q287471,ABN AMRO,Dutch bank,Netherlands,"['public company' 'bank' 'credit institution' 'financial institution'
 'enterprise' 'business']",1991-01-01,http://www.abnamro.com/,['financial sector' 'financial services' 'economics of banking'],Dutch State
16,http://www.wikidata.org/entity/Q372657,Credit Suisse,Swiss multinational banking institution,Switzerland,['bank' 'business' 'subsidiary' 'investment bank' 'financial institution'],1856-01-01,https://www.credit-suisse.com/,['financial services' 'financial sector' 'economics of banking'],Alfred Escher
17,http://www.wikidata.org/entity/Q487907,Bank of America,American multinational banking and financial services corporation,United States of America,['public company' 'credit institution' 'enterprise' 'business' 'bank'],1784-01-01,https://www.bankofamerica.com/,"['financial services' 'International Standard Industrial Classification'
 'financial sector' 'bank']",Amadeo Giannini
18,http://www.wikidata.org/entity/Q548278,Standard Chartered,British financial company,United Kingdom,['bank' 'public company' 'business' 'financial institution'],1853-01-01,https://www.sc.com,"['financial services' 'financial sector'
 'financial service activities, except insurance and pension funding'
 'economics of banking']",James Wilson
19,http://www.wikidata.org/entity/Q658637,Miller Brewing Company,American brewery and beer company,United States of America,['brewery'],1855-01-01,http://www.millercoors.com,['brewing'],Frederick Miller
20,http://www.wikidata.org/entity/Q499362,Sanpaolo IMI,former Italian banking group and a predecessor of Intesa Sanpaolo,Italy,['bank' 'enterprise' 'business' 'bank group'],1998-01-01,http://www.sanpaoloimi.it/,['financial sector'],Istituto Bancario San Paolo di Torino
21,http://www.wikidata.org/entity/Q600178,The Hongkong and Shanghai Banking Corporation Limited,banking services company based in Hong Kong,Republic of China,['bank' 'business'],1865-03-03,http://www.hsbc.com.hk,['financial services'],Thomas Sutherland
22,http://www.wikidata.org/entity/Q595750,Cervecería y Maltería Quilmes,Argentine drink company,Argentina,['brewery' 'enterprise' 'business'],1890-01-01,https://www.cerveceriaymalteriaquilmes.com/,['beverage industry'],Otto Bemberg
23,http://www.wikidata.org/entity/Q800355,Bahnhof,Swedish internet service provider,Sweden,['internet service provider' 'enterprise' 'public company' 'business'],1994-01-01,http://www.bahnhof.se/,['Internet'],Oscar Swartz
24,http://www.wikidata.org/entity/Q815694,Bell Canada,Canadian telecommunications and media company,Canada,['internet service provider' 'business'],1880-01-01,https://www.bell.ca/,['telecommunications'],Charles Fleetford Sise
25,http://www.wikidata.org/entity/Q851481,XS4ALL,Dutch multinational internet service provider,Netherlands,['brand' 'internet service provider'],1993-01-01,https://www.xs4all.nl/,['Internet industry'],Rop Gonggrijp
26,http://www.wikidata.org/entity/Q683303,Hürlimann Brewery,brewery,Switzerland,['brewery'],1836-01-01,http://www.huerlimann.ch,['brewing'],Hans Heinrich Hürlimann
27,http://www.wikidata.org/entity/Q865859,Peroni Brewery,Italian brewery,Italy,['brewery' 'enterprise' 'business'],1846-01-01,https://www.birraperoni.it/,['brewing'],Francesco Peroni
28,http://www.wikidata.org/entity/Q870325,Würzburger Hofbräu,German brewery,Germany,['trademark' 'brewery'],1643-01-01,http://www.wuerzburger-hofbraeu.de/,['food and tobacco industry' 'Manufacture of beer' 'brewing'],Johann Philipp von Schönborn
